,0.625 MHz,1.25 MHz,1.875 MHz,2.5 MHz,3.125 MHz,3.75 MHz,4.375 MHz,5 MHz,5.625 MHz,6.25 MHz
10018,-5632,11520,15616,11264,9984,15872,13056,768,-8960,14080
10019,4352,-7168,-1280,-15872,-9984,-12032,4352,15104,-14848,14080
10020,12800,-16128,-14848,14592,9984,3584,-15872,8704,-14848,14080
10021,16128,-2816,10496,-7680,-9984,6144,5376,-9728,-9216,14080
10022,13568,14336,8448,-2304,9984,-13568,12544,-14592,0,14080
10023,5632,11520,-15616,11008,-9984,15872,-13056,512,8960,14080
10024,-4352,-7168,1280,-15872,9984,-12032,-4352,15104,14592,14080
10025,-12800,-16128,14848,14592,-9984,3584,15872,8704,14848,14080
10026,-16128,-2816,-10496,-7680,9984,6144,-5376,-9728,9216,14080
10027,-13568,14336,-8448,-2048,-9984,-13824,-12544,-14592,0,14080
10028,-5632,11520,15616,11008,9984,15872,13056,512,-8960,14080
10029,4352,-7168,-1280,-15872,-9984,-12032,4352,15104,-14848,14080
10030,12544,-16128,-14848,14592,9984,3584,-15872,8704,-14848,14080
10031,16128,-2816,10496,-7680,-9984,6400,5376,-9728,-9216,14080
10032,13568,14336,8448,-2048,9984,-13568,12544,-14592,-256,14080
10033,5632,11520,-15616,11008,-9984,15872,-13056,768,8960,14080
10034,-4352,-7168,1280,-15872,9984,-12032,-4352,15104,14592,14080
10035,-12800,-16128,14848,14592,-9984,3584,15872,8704,14848,14080
10036,-16128,-2816,-10496,-7680,9984,6144,-5376,-9728,9216,14080
10037,-13568,14336,-8448,-2304,-9984,-13824,-12544,-14592,0,14080
10038,-5632,11520,15616,11264,9984,15872,13056,512,-8960,14080
10039,4352,-7168,-1280,-15872,-9984,-12032,4352,15104,-14848,14080
10040,12800,-16128,-15104,14592,9984,3584,-15872,8704,-14848,14080
10041,16128,-2816,10496,-7680,-9984,6144,5376,-9728,-9216,14080
10042,13568,14336,8448,-2048,9984,-13824,12544,-14592,-256,14080
10043,5632,11520,-15616,11264,-9984,15872,-13056,512,8960,14080
10044,-4352,-7168,1280,-15872,9984,-12032,-4608,15104,14592,14080
10045,-12800,-16128,14848,14592,-9984,3584,15872,8704,14848,14080
10046,-16128,-2816,-10496,-7680,9984,6400,-5376,-9728,9216,14080
10047,-13568,14336,-8448,-2048,-9984,-13824,-12544,-14592,0,14080
10048,-5632,11520,15616,11264,9984,15872,13056,768,-8960,14080
10049,4352,-7168,-1280,-15872,-9984,-12032,4352,15104,-14592,14080
10050,12800,-16128,-15104,14592,9984,3584,-15872,8704,-14848,14080
10051,16128,-2816,10496,-7680,-9984,6400,5376,-9728,-9216,14080
10052,13568,14336,8448,-2048,9984,-13824,12544,-14592,-256,14080
10053,5632,11520,-15616,11264,-9984,15872,-13056,768,8960,14080
10054,-4352,-7168,1280,-15872,9984,-12032,-4352,15104,14592,14080
10055,-12800,-16128,14848,14592,-9984,3584,15872,8704,14848,14080
10056,-16128,-2816,-10496,-7680,9984,6400,-5376,-9728,9216,14080
10057,-13568,14336,-8448,-2048,-9984,-13568,-12544,-14592,0,14080
10058,-5632,11520,15616,11264,9984,15872,13056,768,-8960,14080
10059,4352,-7168,-1280,-15872,-9984,-12032,4352,15104,-14848,14080
10060,12544,-16128,-14848,14592,9984,3584,-15872,8704,-14848,14080
10061,16128,-2816,10496,-7680,-9984,6400,5376,-9728,-9216,14080
10062,13568,14336,8448,-2048,9984,-13824,12544,-14592,-256,14080
10063,5632,11520,-15872,11008,-9984,15872,-13056,768,8960,14080
10064,-4352,-7168,1024,-15872,9984,-12032,-4352,15104,14592,14080
10065,-12800,-16128,14848,14592,-9984,3584,15872,8704,14848,14080
10066,-16128,-2816,-10496,-7680,9984,6144,-5376,-9728,9216,14080
10067,-13568,14336,-8448,-2048,-9984,-13568,-12544,-14592,0,14080
10068,-5632,11520,15616,11264,9984,15872,13056,768,-8960,14080
10069,4352,-7168,-1280,-15872,-9984,-12032,4352,15104,-14592,14080
10070,12544,-16128,-14848,14592,9984,3584,-15872,8704,-14848,14080
10071,16128,-2816,10496,-7680,-9984,6144,5376,-9728,-9216,14080
10072,13568,14336,8448,-2048,9984,-13568,12544,-14592,-256,14080
10073,5632,11520,-15872,11264,-9984,15872,-13056,768,8960,14080
10074,-4352,-7168,1280,-15872,9984,-12032,-4352,15104,14592,14080
10075,-12800,-16128,14848,14592,-9984,3584,15872,8704,14848,14080
10076,-16128,-2816,-10496,-7680,9984,6144,-5376,-9728,9216,14080
